region_id,city_id,region_name,city_name,net_forest_emissions_01_to_23
21,40,Västra Götaland,Tanum,-5611172.626650826
21,41,Västra Götaland,Tibro,-823846.7308757012
21,42,Västra Götaland,Tidaholm,-801727.9048229195
21,43,Västra Götaland,Tjörn,-966262.7435588312
21,44,Västra Götaland,Töreboda,-1866807.7399767728
21,45,Västra Götaland,Tranemo,-3518476.0923178336
21,46,Västra Götaland,Trollhättan,-1646251.3011256345
21,47,Västra Götaland,Uddevalla,-3876421.5332759963
21,48,Västra Götaland,Ulricehamn,-5005118.491456594
21,49,Västra Götaland,Vänersborg,-2897531.265009546
21,50,Västra Götaland,Vara,-808066.9044631582
21,51,Västra Götaland,Vårgårda,-1461510.0851336038
